SMILES,LogD,log_KSOL,log_HLM CLint,log_MLM CLint,log_Caco-2 Permeability Papp A>B,log_Caco-2 Permeability Efflux,log_MPPB,log_MBPB,log_MGMB,log_MDR1 Efflux_fang,log_KSOL_fang,log_HPPM_fang,log_RPPB_fang,log_RLM CLint_fang,LogD_az,logD7.4,log_Papp,log_kobs,pIC50_CYP3A4,pIC50_CYP2C9,pIC50_CYP2D6
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2ncsc2c1,,,,,,,,,,,,,,,,,-4.982966661,,,,
CC(C)CN(C[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C[C@H](Cc1ccccc1)NC(=O)OCc1nccs1,,,,,,,,,,,,,,,,,,-1.354,5.89,4.833,5.223
CC(C)CN(Cc1cnn(C)c1)C(=O)c1cccc(-c2cnccn2)c1,,,2.651701439,,,,,,,0.858359218,,,,3.676246468,,,,,,,
CC(C)CN(c1ncnc2c1cnn2C)C1CC1,,,1.703334375,,,,,,,-0.136315042,1.470851325,,,2.538211671,,,,,,,
CC(C)CN1C(=O)C(=O)N(Cc2ccccn2)C1=O,,,0.675686709,,,,,,,-0.076945063,1.593618308,,,1.453944862,,,,,,,
CC(C)CN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C1=O,,,,,,,,,,,,,,,,,-4.677780705,,,,
CC(C)CN1CC2(CCN(C(=O)Oc3ccccc3)CC2)C1,,,,,,,,,,,,,,,,,,-2.344,4.741,4.658,4.796
CC(C)CN1CC2(CCN(C(=O)c3cccc(F)c3)CC2)C1,,,,,,,,,,,,,,,,,,-2.357,4.751,4.642,4.819
CC(C)CN1CC2(CCN(C(=O)c3ccco3)CC2)C1,,,,,,,,,,,,,,,,,,-2.339,4.713,4.654,4.722
CC(C)CN1CC2(CCN(C(=O)c3ccncc3)CC2)C1,,,,,,,,,,,,,,,,,,-2.521,4.97,4.651,5.673
CC(C)CN1CC2(CCN(C(=O)c3cnccn3)CC2)C1,,,,,,,,,,,,,,,,,,-2.39,4.802,4.625,4.822
CC(C)CN1CC2(CCN(C(=O)c3csnn3)CC2)C1,,,,,,,,,,,,,,,,,,-2.377,4.645,4.623,4.706
CC(C)CN1CC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1,,,,,,,,,,,,,,,,,,-2.284,4.776,4.677,4.923
CC(C)CN1CCC(c2nc(-c3ccc4nc(N)n(S(=O)(=O)C(C)C)c4c3)c(-c3ccccc3)[nH]2)CC1,,,,,,,,,,,,,,,,,,-1.551,4.865,4.812,4.767
CC(C)CN1CCC2(CC1)CCN(C(=O)Oc1ccccc1)CC2,,,,,,,,,,,,,,,,,,-2.264,4.657,4.642,4.778
CC(C)CN1CCC2(CC1)CCN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC2,,,,,,,,,,,,,,,,,,-2.169,4.799,4.723,5.195
CC(C)CN1CCC2(CC1)CCN(C(=O)c1cccc(F)c1)CC2,,,,,,,,,,,,,,,,,,-2.27,4.669,4.637,4.807
CC(C)CN1CCC2(CC1)CCN(C(=O)c1cccn1C)CC2,,,,,,,,,,,,,,,,,,-2.264,4.606,4.619,4.68
CC(C)CN1CCC2(CC1)CCN(C(=O)c1ccco1)CC2,,,,,,,,,,,,,,,,,,-2.263,4.621,4.631,4.714
CC(C)CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,,,,,,,,,,,,,,,,,,-2.427,4.802,4.608,5.695
CC(C)CN1CCC2(CC1)CCN(C(=O)c1cnccn1)CC2,,,,,,,,,,,,,,,,,,-2.316,4.652,4.598,4.811
CC(C)CN1CCC2(CC1)CCN(C(=O)c1csnn1)CC2,,,,,,,,,,,,,,,,,,-2.319,4.573,4.587,4.695
CC(C)CN1CCC2(CC1)CCN(S(=O)(=O)c1ccccc1)CC2,,,,,,,,,,,,,,,,,,-2.193,4.691,4.664,4.833
CC(C)CN1CCC2(CC1)CCN(S(C)(=O)=O)CC2,,,,,,,,,,,,,,,,,,-2.188,4.602,4.606,4.713
CC(C)CN1CCCC2(CCN(C(=O)Oc3ccccc3)CC2)C1,,,,,,,,,,,,,,,,,,-2.284,4.708,4.649,4.825
CC(C)CN1CCCC2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)C1,,,,,,,,,,,,,,,,,,-2.186,4.857,4.745,5.338
CC(C)CN1CCCC2(CCN(C(=O)c3cccc(F)c3)CC2)C1,,,,,,,,,,,,,,,,,,-2.296,4.726,4.639,4.863
CC(C)CN1CCCC2(CCN(C(=O)c3cccn3C)CC2)C1,,,,,,,,,,,,,,,,,,-2.267,4.665,4.639,4.705
CC(C)CN1CCCC2(CCN(C(=O)c3ccco3)CC2)C1,,,,,,,,,,,,,,,,,,-2.266,4.688,4.649,4.738
CC(C)CN1CCCC2(CCN(C(=O)c3ccncc3)CC2)C1,,,,,,,,,,,,,,,,,,-2.456,4.928,4.633,5.84
CC(C)CN1CCCC2(CCN(C(=O)c3cnccn3)CC2)C1,,,,,,,,,,,,,,,,,,-2.345,4.769,4.614,4.874
CC(C)CN1CCCC2(CCN(C(=O)c3csnn3)CC2)C1,,,,,,,,,,,,,,,,,,-2.335,4.625,4.612,4.72
CC(C)CN1CCCC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1,,,,,,,,,,,,,,,,,,-2.267,4.757,4.673,4.989
CC(C)CN1CC[C@@]2(CCCN(C(=O)Oc3ccccc3)C2)C1,,,,,,,,,,,,,,,,,,-2.235,4.716,4.659,4.81
CC(C)CN1CC[C@@]2(CCCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)C1,,,,,,,,,,,,,,,,,,-2.218,4.885,4.754,5.316
CC(C)CN1CC[C@@]2(CCCN(C(=O)c3cccc(F)c3)C2)C1,,,,,,,,,,,,,,,,,,-2.273,4.781,4.651,4.868
CC(C)CN1CC[C@@]2(CCCN(C(=O)c3ccco3)C2)C1,,,,,,,,,,,,,,,,,,-2.265,4.727,4.658,4.748
CC(C)CN1CC[C@@]2(CCCN(C(=O)c3ccncc3)C2)C1,,,,,,,,,,,,,,,,,,-2.471,5.096,4.673,5.799
CC(C)CN1CC[C@@]2(CCCN(C(=O)c3cnccn3)C2)C1,,,,,,,,,,,,,,,,,,-2.355,4.886,4.632,4.931
CC(C)CN1CC[C@@]2(CCCN(C(=O)c3csnn3)C2)C1,,,,,,,,,,,,,,,,,,-2.324,4.662,4.624,4.715
CC(C)CN1CC[C@@]2(CCCN(S(=O)(=O)c3ccccc3)C2)C1,,,,,,,,,,,,,,,,,,-2.197,4.838,4.683,5.008
CC(C)CN1CC[C@H](c2nc3ccc(C#N)cc3[nH]2)C1,,,0.825361196,,,,,,,0.162790592,1.564666064,,,1.882735088,,,,,,,
CC(C)CN1CCc2nc(-c3ccccc3)c3c(c2C1)COC(C)C3,,,,,,,,,,,,,,,,,,-2.165,4.673,4.681,4.699
CC(C)CNC(=N)NC(=N)N,,,,,,,,,,,,,,,,,,-2.559,4.636,4.641,4.66
CC(C)CNC(=O)O,,,,,,,,,,,,,,,,,,-2.496,4.697,4.747,4.768
CC(C)CNCCc1ccccn1,,,,,,,,,,,,,,,,,,-2.259,4.597,4.672,4.785
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,,,,,,,,,,,,,,,1.9,,,,,,
CC(C)CNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1,,,,,,,,,,,,,,,,2.63,,,,,
CC(C)CNc1nc(C#N)nc(N2CC(O)C2)c1N,,,,,,,,,,,,,,,2.0,,,,,,
CC(C)CNc1nc(C#N)nc(N2CCNCC2)c1N,,,,,,,,,,,,,,,0.7,,,-2.186,4.714,4.7,4.731
CC(C)CNc1nc(C#N)nc(N2CCOCC2)c1N,,,,,,,,,,,,,,,2.79,,,-1.97,4.618,4.733,4.655
CC(C)CNc1nc(C#N)nc(NC2CCS(=O)(=O)C2)c1N,,,,,,,,,,,,,,,2.3,,,,,,
CC(C)CNc1nc(N)nc(O)c1NC=O,,,,,,,,,,,,,,,,,,-2.245,4.713,4.701,4.706
CC(C)CNc1nc2c(N)ncnc2[nH]1,,,,,,,,,,,,,,,,,,-2.01,4.588,4.604,4.639
CC(C)CNc1nnc(SCc2ccncc2)s1,,,1.490239485,,,,,,,0.014270843,1.680788612,,,2.800070653,,,,,,,
CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.393,5.904,4.843,4.793
CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.368,5.964,4.903,4.825
CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.797,5.355,4.771,4.698
CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.675,5.415,4.714,4.672
CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-2.097,5.04,4.858,4.659
CC(C)CO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n(Cc3cc4c(cc3Cl)OCO4)c(=O)n12,,,,,,,,,,,,,,,,,,-1.468,5.744,4.868,4.734
CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,,,,,,,,,,,,,,,,,,-2.18,4.877,4.733,4.681
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,,,,,,,,,,,,,,,3.66,,,-1.792,5.12,4.727,6.653
CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,,,,,,,,,,,,,,,,,,-1.756,5.05,4.723,6.551
CC(C)CO[C@H](c1ccc2c(c1)OCO2)[C@H](C)Br,,,,,,,,,,,,,,,,,,-1.548,5.689,4.913,5.482
CC(C)COc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,,,,,,,,,,,,,,,3.8,,,,,,
CC(C)COc1cc(F)cc(-c2cncc(C(=O)N3CCCC3)n2)c1,,,,,,,,,,-0.355045911,-0.15490196,,,,,,,,,,
CC(C)COc1cc(OC(C)C)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,,,,,,,,,,,,,,,1.6,,,,,,
CC(C)COc1ccc(C(C)(C)NCc2nnc(C3CCC3)o2)cc1,,,2.102111124,,,,,,,,,,,3.487681399,,,,,,,
CC(C)COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2c1,3.3,1.1038037209559568,,,,,,,,,,,,,,,,,,,
CC(C)COc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)ccc3c2c1,3.2,1.6866362692622934,,,,,0.3424226808222063,,,,,,,,,,,,,,
CC(C)COc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)cnc3c2c1,3.0,1.9041743682841634,,,,,,,,,,,,,,,,,,,
CC(C)COc1ccc2c(c1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,3.6,0.4727564493172124,1.7084209001347128,2.3432115901797474,,,,,,,,,,,,,,,,,
CC(C)COc1ccc2c(c1)c1ccn(C[C@@H]3CCCN(C)C3)c(=O)c1n2C,3.7,1.5976951859255124,,,,,,,,,,,,,,,,,,,
CC(C)COc1ccc2c(c1)c1ncn(CCCN3CCCCC3)c(=O)c1n2C,3.6,1.8609366207000937,,,,,0.146128035678238,,,,,,,,,,,,,,
CC(C)COc1ccc2c(c1)c1ncn(C[C@@H]3CCCN(C)C3)c(=O)c1n2C,3.4,1.7693773260761385,1.841359470454855,2.3352572564345317,,,,,,,,,,,,,,,,,
CC(C)CS(=O)(=O)n1ccc2c(-c3ccc(C(F)(F)F)cc3)cc(N3CCN(C)CC3)nc21,,,,,,,,,,,,,,,,,,-1.813,4.93,4.77,4.737
CC(C)CS(=O)(=O)n1ccc2c(-c3ccc(C(F)(F)F)cc3)cc(N3CCNCC3)nc21,,,,,,,,,,,,,,,,,,-1.694,5.132,4.789,4.77
CC(C)CSC[C@@H]1O[C@H](n2cnc3c(N)nccc32)[C@H](O)[C@@H]1O,,,,,,,,,,,,,,,,,,-1.837,4.665,4.625,4.579
CC(C)C[C@@H](C(N)=O)n1ccnc1-c1cccc2ccccc12,,,2.517362192,,,,,,,1.678003236,1.513883186,,,3.149882061,,,,,,,
CC(C)C[C@@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,,,,,,,,,,,,,,,,,-5.585026652,,,,
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.225,4.593,4.62,4.651
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](CO)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.255,4.614,4.632,4.656
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.149,4.609,4.632,4.665
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.197,4.62,4.642,4.669
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.17,4.609,4.634,4.666
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.207,4.622,4.645,4.67
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.245,4.607,4.631,4.656
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.276,4.625,4.642,4.657
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.189,4.617,4.643,4.671
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.226,4.63,4.653,4.672
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.202,4.616,4.644,4.672
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.234,4.634,4.656,4.674
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.249,4.599,4.621,4.648
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](CO)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.277,4.618,4.632,4.651
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.192,4.604,4.631,4.66
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.227,4.627,4.646,4.665
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.202,4.608,4.635,4.664
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@@H](NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CNCC[C@H]1N)C(C)C,,,,,,,,,,,,,,,,,,-2.234,4.628,4.647,4.667
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.27,4.612,4.631,4.65
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.29,4.628,4.641,4.651
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.221,4.618,4.644,4.666
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.249,4.638,4.655,4.667
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.228,4.622,4.647,4.668
CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CNCC[C@H]1NC(=O)C[C@H](CCCN)NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.253,4.639,4.656,4.668
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.225,4.596,4.631,4.659
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.262,4.615,4.64,4.659
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.181,4.61,4.638,4.668
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.22,4.623,4.648,4.669
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.194,4.608,4.64,4.669
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.229,4.626,4.651,4.67
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.258,4.603,4.631,4.654
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.285,4.62,4.64,4.653
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.218,4.611,4.639,4.663
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.246,4.631,4.651,4.664
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.225,4.614,4.642,4.665
CC(C)C[C@@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.251,4.631,4.652,4.666
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)C(C)C)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.202,4.588,4.622,4.654
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)C(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.239,4.607,4.635,4.658
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)C(C)C)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.137,4.606,4.633,4.665
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)C(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.191,4.615,4.642,4.667
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)C(C)C)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.164,4.605,4.634,4.664
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)C(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.204,4.617,4.645,4.669
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)C(C)C)NC(=O)[C@@H]1CCCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.232,4.594,4.625,4.653
CC(C)C[C@@H](CC(=O)N[C@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)CC(C)C)C(C)C)NC(=O)[C@@H]1CNCC[C@H]1N,,,,,,,,,,,,,,,,,,-2.27,4.614,4.635,4.655
